genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DEG	HARs.Intron	HARs.Flanking	HARs.FlankingandIntron	HARs.Intron.Simp	HARs.Flanking.Simp	HARs.FlankingandIntron.Simp	hCONDELs.Intron	hCONDELs.Flanking	hCONDELs.FlankingandIntron	hCONDELs.Intron.Simp	hCONDELs.Flanking.Simp	hCONDELs.FlankingandIntron.Simp	HARorhCONDEL	HARandhCONDEL
SNRPF	21.864244428522	-1.81773564559662	0.494384334542702	-3.67676626986573	0.000236209282132164	0.00612484812140219	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SNRPN	393.372466879647	-11.5071922288936	1.16748845790056	-9.85636487540649	6.43365527961991e-23	8.97137486213665e-20	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SNX25	97.3967170676612	-0.811015816105993	0.160301079376328	-5.05932847901809	4.20735540686061e-07	3.61659659973292e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SNX32	81.4094268690956	-1.5131441438207	0.302602457821996	-5.00043573575597	5.72008920456379e-07	4.66150126735556e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SORBS2	210.15740799349	0.806033643120663	0.157296004080418	5.12431099463006	2.98627734180145e-07	2.73560442624877e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SOSTDC1	1.86124617467808	-3.75580872532937	1.07199779272908	-3.5035601293244	0.000459082997196465	0.0098318969536103	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SOX1	3.03079862646859	-4.45090260662116	0.977693879748569	-4.55245010612707	5.30247387401848e-06	0.00029059409222241	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SOX2	32.1557281285747	-7.89462964999517	1.58853583700351	-4.96975231285117	6.70384828964972e-07	5.26743420002328e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SPARCL1	448.437475387387	1.01011863322993	0.239952687632207	4.20965750872613	2.55758091551806e-05	0.00109968893011377	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SPATA25	1.10700984876834	3.5418830225298	0.995157237693083	3.55911898981954	0.00037210092830097	0.00852165447112623	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SPATA5	78.331343579482	-0.756117889085184	0.214732581604256	-3.52120709133317	0.000429586976763325	0.00947467476901452	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SPECC1L	36.9243808189881	-8.09249425152297	2.1343365947736	-3.79157358372585	0.000149695780672194	0.00431880930445066	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SPEF1	3.50742505760438	3.11683022821967	0.581710730011869	5.35804149281565	8.41289222652835e-08	9.3435218976045e-06	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SPESP1	10.2073936296647	-6.25411132566443	1.02867894764923	-6.07975047993016	1.20369712028838e-09	2.56040658637613e-07	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SPINT2	24.2103882162314	1.37608974605354	0.313700306122989	4.38663819956247	1.15116033892113e-05	0.000557801631407727	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
